"SamAccountName","Description","OfficePhone","Surname","UserPrincipalName","GivenName","Name","Company","City","Department","DisplayName"
"TMagin","Spiceworld Demo","1020","Magin","TMagin@company.pri","Toney","Toney Magin","Company.com","New York City","Physical Plant","Toney Magin"
"IVergamini","Spiceworld Demo","1021","Vergamini","IVergamini@company.pri","Irving","Irving Vergamini","Company.com","Chicago","Engineering","Irving Vergamini"
"CBorucki","Spiceworld Demo","1022","Borucki","CBorucki@company.pri","Chong","Chong Borucki","Company.com","San Diego","Product Development","Chong Borucki"
"GLafontain","Spiceworld Demo","1023","Lafontain","GLafontain@company.pri","Gerald","Gerald Lafontain","Company.com","Chicago","Engineering","Gerald Lafontain"
"RRiveron","Spiceworld Demo","1024","Riveron","RRiveron@company.pri","Russel","Russel Riveron","Company.com","New York City","Security","Russel Riveron"
"FBova","Spiceworld Demo","1025","Bova","FBova@company.pri","Fredrick","Fredrick Bova","Company.com","Miami","Consumer Affairs","Fredrick Bova"
"SJerome","Spiceworld Demo","1026","Jerome","SJerome@company.pri","Sandy","Sandy Jerome","Company.com","Miami","Human Resources","Sandy Jerome"
"DCianci","Spiceworld Demo","1027","Cianci","DCianci@company.pri","Dwayne","Dwayne Cianci","Company.com","New York City","Sales","Dwayne Cianci"
"SDratch","Spiceworld Demo","1028","Dratch","SDratch@company.pri","Stevie","Stevie Dratch","Company.com","Miami","Payroll","Stevie Dratch"
"MAbolt","Spiceworld Demo","1029","Abolt","MAbolt@company.pri","Major","Major Abolt","Company.com","New York City","Customer Service","Major Abolt"
"DHirschfeld","Spiceworld Demo","1030","Hirschfeld","DHirschfeld@company.pri","Donald","Donald Hirschfeld","Company.com","New York City","Physical Plant","Donald Hirschfeld"
"HLafantano","Spiceworld Demo","1031","Lafantano","HLafantano@company.pri","Herbert","Herbert Lafantano","Company.com","New York City","Consumer Affairs","Herbert Lafantano"
"PPorterfield","Spiceworld Demo","1032","Porterfield","PPorterfield@company.pri","Philip","Philip Porterfield","Company.com","Miami","Payroll","Philip Porterfield"
"AKaufman","Spiceworld Demo","1033","Kaufman","AKaufman@company.pri","Antony","Antony Kaufman","Company.com","New York City","Maintenance","Antony Kaufman"
"SFunchess","Spiceworld Demo","1034","Funchess","SFunchess@company.pri","Sebastian","Sebastian Funchess","Company.com","Chicago","Finance","Sebastian Funchess"
"WPrevite","Spiceworld Demo","1035","Previte","WPrevite@company.pri","Weldon","Weldon Previte","Company.com","Chicago","Maintenance","Weldon Previte"
"SPalombo","Spiceworld Demo","1036","Palombo","SPalombo@company.pri","Spencer","Spencer Palombo","Company.com","New York City","Finance Services","Spencer Palombo"
"MGeraci","Spiceworld Demo","1037","Geraci","MGeraci@company.pri","Maxwell","Maxwell Geraci","Company.com","San Diego","Payroll","Maxwell Geraci"
"CVicsik","Spiceworld Demo","1038","Vicsik","CVicsik@company.pri","Coleman","Coleman Vicsik","Company.com","Miami","IT","Coleman Vicsik"
"JSwartz","Spiceworld Demo","1039","Swartz","JSwartz@company.pri","Jay","Jay Swartz","Company.com","New York City","Finance Services","Jay Swartz"
"DTarango","Spiceworld Demo","1040","Tarango","DTarango@company.pri","Dwayne","Dwayne Tarango","Company.com","San Diego","Physical Plant","Dwayne Tarango"
"CBisignano","Spiceworld Demo","1041","Bisignano","CBisignano@company.pri","Chauncey","Chauncey Bisignano","Company.com","Miami","Maintenance","Chauncey Bisignano"
"SReynoldson","Spiceworld Demo","1042","Reynoldson","SReynoldson@company.pri","Scottie","Scottie Reynoldson","Company.com","New York City","Finance","Scottie Reynoldson"
"MAbramian","Spiceworld Demo","1043","Abramian","MAbramian@company.pri","Miquel","Miquel Abramian","Company.com","New York City","Development","Miquel Abramian"
"CHasbrouck","Spiceworld Demo","1044","Hasbrouck","CHasbrouck@company.pri","Claude","Claude Hasbrouck","Company.com","Miami","Accounting","Claude Hasbrouck"
"TClemmons","Spiceworld Demo","1045","Clemmons","TClemmons@company.pri","Terrell","Terrell Clemmons","Company.com","New York City","Finance Services","Terrell Clemmons"
"WBrundige","Spiceworld Demo","1046","Brundige","WBrundige@company.pri","Will","Will Brundige","Company.com","San Diego","Finance Services","Will Brundige"
"JStocke","Spiceworld Demo","1047","Stocke","JStocke@company.pri","Jacinto","Jacinto Stocke","Company.com","New York City","Executive","Jacinto Stocke"
"CCresci","Spiceworld Demo","1048","Cresci","CCresci@company.pri","Cruz","Cruz Cresci","Company.com","New York City","Customer Service","Cruz Cresci"
"ZDajer","Spiceworld Demo","1049","Dajer","ZDajer@company.pri","Zachariah","Zachariah Dajer","Company.com","Chicago","Executive","Zachariah Dajer"
"BTijerina","Spiceworld Demo","1050","Tijerina","BTijerina@company.pri","Bernie","Bernie Tijerina","Company.com","New York City","Manufacturing","Bernie Tijerina"
"TForti","Spiceworld Demo","1051","Forti","TForti@company.pri","Tresa","Tresa Forti","Company.com","New York City","Finance Services","Tresa Forti"
"ULaglie","Spiceworld Demo","1052","Laglie","ULaglie@company.pri","Ulrike","Ulrike Laglie","Company.com","San Diego","Development","Ulrike Laglie"
"LNieratko","Spiceworld Demo","1053","Nieratko","LNieratko@company.pri","Lavenia","Lavenia Nieratko","Company.com","Chicago","Product Development","Lavenia Nieratko"
"LGarry","Spiceworld Demo","1054","Garry","LGarry@company.pri","Linsey","Linsey Garry","Company.com","San Diego","Security","Linsey Garry"
"DBluming","Spiceworld Demo","1055","Bluming","DBluming@company.pri","Dahlia","Dahlia Bluming","Company.com","San Diego","Quality Assurance","Dahlia Bluming"
"AZurin","Spiceworld Demo","1056","Zurin","AZurin@company.pri","Aracelis","Aracelis Zurin","Company.com","San Diego","Sales","Aracelis Zurin"
"EKottraba","Spiceworld Demo","1057","Kottraba","EKottraba@company.pri","Eddie","Eddie Kottraba","Company.com","Chicago","Finance","Eddie Kottraba"
"JDufauchard","Spiceworld Demo","1058","Dufauchard","JDufauchard@company.pri","Janessa","Janessa Dufauchard","Company.com","New York City","Finance","Janessa Dufauchard"
"MDunnaville","Spiceworld Demo","1059","Dunnaville","MDunnaville@company.pri","Mellisa","Mellisa Dunnaville","Company.com","New York City","Executive","Mellisa Dunnaville"
"MDelmoro","Spiceworld Demo","1060","Delmoro","MDelmoro@company.pri","Magdalena","Magdalena Delmoro","Company.com","Chicago","Engineering","Magdalena Delmoro"
"ESpeckman","Spiceworld Demo","1061","Speckman","ESpeckman@company.pri","Ellamae","Ellamae Speckman","Company.com","Chicago","Maintenance","Ellamae Speckman"
"TBeberwyk","Spiceworld Demo","1062","Beberwyk","TBeberwyk@company.pri","Torri","Torri Beberwyk","Company.com","Miami","Security","Torri Beberwyk"
"JKapp","Spiceworld Demo","1063","Kapp","JKapp@company.pri","Josefine","Josefine Kapp","Company.com","New York City","Sales","Josefine Kapp"
"IEngleby","Spiceworld Demo","1064","Engleby","IEngleby@company.pri","Ines","Ines Engleby","Company.com","New York City","Security","Ines Engleby"
"THineman","Spiceworld Demo","1065","Hineman","THineman@company.pri","Trudi","Trudi Hineman","Company.com","San Diego","Finance","Trudi Hineman"
"PStream","Spiceworld Demo","1066","Stream","PStream@company.pri","Ping","Ping Stream","Company.com","San Diego","Government Sales","Ping Stream"
"SOgawa","Spiceworld Demo","1067","Ogawa","SOgawa@company.pri","Shalonda","Shalonda Ogawa","Company.com","Chicago","Manufacturing","Shalonda Ogawa"
"LSandona","Spiceworld Demo","1068","Sandona","LSandona@company.pri","Librada","Librada Sandona","Company.com","Miami","Security","Librada Sandona"
"KStueck","Spiceworld Demo","1069","Stueck","KStueck@company.pri","Kathlene","Kathlene Stueck","Company.com","San Diego","Human Resources","Kathlene Stueck"
"SShamonsky","Spiceworld Demo","1070","Shamonsky","SShamonsky@company.pri","Shonna","Shonna Shamonsky","Company.com","Miami","Government Sales","Shonna Shamonsky"
"CWalcott","Spiceworld Demo","1071","Walcott","CWalcott@company.pri","Chaya","Chaya Walcott","Company.com","New York City","Customer Service","Chaya Walcott"
"CKiphart","Spiceworld Demo","1072","Kiphart","CKiphart@company.pri","Christena","Christena Kiphart","Company.com","New York City","Product Development","Christena Kiphart"
"DWeig","Spiceworld Demo","1073","Weig","DWeig@company.pri","Dulce","Dulce Weig","Company.com","Miami","Government Sales","Dulce Weig"
"BLeak","Spiceworld Demo","1074","Leak","BLeak@company.pri","Bertha","Bertha Leak","Company.com","New York City","Security","Bertha Leak"
"LSchiveley","Spiceworld Demo","1075","Schiveley","LSchiveley@company.pri","Lindsay","Lindsay Schiveley","Company.com","Miami","Security","Lindsay Schiveley"
"AHamlett","Spiceworld Demo","1076","Hamlett","AHamlett@company.pri","Audra","Audra Hamlett","Company.com","Chicago","Executive","Audra Hamlett"
"MDanfield","Spiceworld Demo","1077","Danfield","MDanfield@company.pri","Miguelina","Miguelina Danfield","Company.com","Chicago","IT","Miguelina Danfield"
"CMendez","Spiceworld Demo","1078","Mendez","CMendez@company.pri","Coleen","Coleen Mendez","Company.com","Miami","Maintenance","Coleen Mendez"
"KBiltz","Spiceworld Demo","1079","Biltz","KBiltz@company.pri","Kathlyn","Kathlyn Biltz","Company.com","San Diego","Government Sales","Kathlyn Biltz"
"AIuliucci","Spiceworld Demo","1080","Iuliucci","AIuliucci@company.pri","Anne","Anne Iuliucci","Company.com","New York City","Maintenance","Anne Iuliucci"
"TMallahan","Spiceworld Demo","1081","Mallahan","TMallahan@company.pri","Tillie","Tillie Mallahan","Company.com","Chicago","Manufacturing","Tillie Mallahan"
"EBrackins","Spiceworld Demo","1082","Brackins","EBrackins@company.pri","Eric","Eric Brackins","Company.com","New York City","Engineering","Eric Brackins"
"EBallman","Spiceworld Demo","1083","Ballman","EBallman@company.pri","Eloise","Eloise Ballman","Company.com","New York City","Manufacturing","Eloise Ballman"
"PBartholomew","Spiceworld Demo","1084","Bartholomew","PBartholomew@company.pri","Portia","Portia Bartholomew","Company.com","San Diego","Accounting","Portia Bartholomew"
"DBlum","Spiceworld Demo","1085","Blum","DBlum@company.pri","Diann","Diann Blum","Company.com","New York City","Finance Services","Diann Blum"
"SMullendore","Spiceworld Demo","1086","Mullendore","SMullendore@company.pri","Sarita","Sarita Mullendore","Company.com","New York City","Sales","Sarita Mullendore"
"SReusser","Spiceworld Demo","1087","Reusser","SReusser@company.pri","Selma","Selma Reusser","Company.com","San Diego","Public Affairs","Selma Reusser"
"TDunwiddie","Spiceworld Demo","1088","Dunwiddie","TDunwiddie@company.pri","Tamika","Tamika Dunwiddie","Company.com","Miami","Accounting","Tamika Dunwiddie"
"JArender","Spiceworld Demo","1089","Arender","JArender@company.pri","Jetta","Jetta Arender","Company.com","Miami","Engineering","Jetta Arender"
"DGalli","Spiceworld Demo","1090","Galli","DGalli@company.pri","Deirdre","Deirdre Galli","Company.com","San Diego","Sales","Deirdre Galli"
"MCoutu","Spiceworld Demo","1091","Coutu","MCoutu@company.pri","Marion","Marion Coutu","Company.com","Chicago","Payroll","Marion Coutu"
"FTestman","Spiceworld Demo","1092","Testman","FTestman@company.pri","Fredda","Fredda Testman","Company.com","Chicago","Marketing","Fredda Testman"
"LEttel","Spiceworld Demo","1093","Ettel","LEttel@company.pri","Lorie","Lorie Ettel","Company.com","Miami","Development","Lorie Ettel"
"SLorimer","Spiceworld Demo","1094","Lorimer","SLorimer@company.pri","Santina","Santina Lorimer","Company.com","Chicago","Customer Service","Santina Lorimer"
"TLamoreux","Spiceworld Demo","1095","Lamoreux","TLamoreux@company.pri","Treena","Treena Lamoreux","Company.com","San Diego","Public Affairs","Treena Lamoreux"
"LMeader","Spiceworld Demo","1096","Meader","LMeader@company.pri","Leah","Leah Meader","Company.com","Chicago","Engineering","Leah Meader"
"LZipse","Spiceworld Demo","1097","Zipse","LZipse@company.pri","Larry","Larry Zipse","Company.com","New York City","Executive","Larry Zipse"
"HBeckes","Spiceworld Demo","1098","Beckes","HBeckes@company.pri","Helena","Helena Beckes","Company.com","New York City","Public Affairs","Helena Beckes"
"ASimao","Spiceworld Demo","1099","Simao","ASimao@company.pri","Ashli","Ashli Simao","Company.com","Chicago","Government Sales","Ashli Simao"
"EKruskie","Spiceworld Demo","1100","Kruskie","EKruskie@company.pri","Evette","Evette Kruskie","Company.com","Chicago","Executive","Evette Kruskie"
